work_code	balance	actually_printed	assumed_printed	other_in	out	stocktakes	full_book_title
spbk0002462	1424	2000	3000	15	-3591	528; 100; 495; 650; 180; 95; 10	"Voyage dans les mers de l'Inde, fait par ordre du Roi à l'occasion du passage de Vénus sur le disque du soleil, le 6 juin 1761 et le 3 du même mois 1769"
spbk0000779	1532	2500	0	126	-1094	2347; 2347; 1825; 1725; 1598; 51; 1535	Essai philosophique et moral sur le plaisir
spbk0002527	1688	1040	2276	51	-1679	1300; 1262; 1129; 20; 902; 275; 548; 310; 212; 976	Abrégé des principes de la grammaire françoise
spbk0002618	1932	4046	6822	256	-9192	46; 2; 4506; 446; 3630; 2348; 1900; 1212	"Sainte Bible (la), qui contient le Vieux et le Nouveau Testament"
spbk0002575	1955	3000	0	590	-1635	1032; 495; 216	Elémens de l'histoire de France: depuis Clovis jusqu'à Louis XV
spbk0003568	2021	3000	0	620	-1599	1197; 387; 870; 582; 522; 45	Elémens de l'histoire d'Angleterre: depuis la conquête des Romains jusqu'au règne de Georges II
spbk0001235	2047	4762	0	106	-2821	2157	"Inceste avoué à un mari, ou Exposé rapide de l'innocence & de l'honnêteté, tant absolue que relative, de spectable Théodore Rilliet"
spbk0001954	2100	3000	0	293	-1193	77; 35; 110	"Portrait de Philippe II, roi d'Espagne"
spbk0001264	2226	4110	0	59	-1943	309; 3751; 2971; 13; 1128; 996	"Intolérance (l') ecclésiastique, ou Les malheurs d'un hétérodoxe/ La vie et les opinions de maître Sébaltus Nothanker"
spbk0002987	2448	14497	0	266	-12315	12495; 10969; 70; 7826; 588; 6790; 5649; 5166; 4487	Oeuvres complètes
spbk0002049	2823	3000	0	0	-177	1752; 1722; 1705	Recueil de diverses pièces servant de supplément à l'histoire philosophique et politique des établissemens et du commerce des Européens dans les deux Indes par Guillaume-Thomas Raynal
spbk0001941	17311	28991	5000	107	-16787	2157	"Planta gagnant sa vie en honnête homme, ou Confrontations de M. le baron de Planta & de spectable Théodore Rilliet"
